"Tanggal","Origin (UTC)","Lintang","Bujur","Magnitudo","Depth","Ket","Terasa","Dampak","Sumber","Petugas","Created","Updated","Actions"
"04-11-2021","15:00:26.0","-1.95","140.74","3.3","10","70 km TimurLaut KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"04-11-2021","19:40:14.8","-2.85","139.90","2.8","36","63 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-11-2021","05:52:00.4","-0.91","132.70","2.7","4","37 km Tenggara TAMBRAUW-PAPUABRT","tidak","","pgr v","purnama","2021-11-05 06:33:47","2021-11-05 10:08:53","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-11-2021","07:21:26.0","-3.27","140.21","3.7","13","62 km BaratLaut KEEROM-PAPUA","tidak","","angkasa","purnama","","2021-11-05 10:08:42","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","00:37:54.9","-2.50","139.09","3.0","10","81 km Tenggara SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","00:59:28.2","-3.24","140.11","2.8","10","73 km BaratLaut KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","09:49:20.3","-0.28","132.09","2.4","10","65 km BaratLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 15:59:43","2021-11-06 16:01:05","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","15:42:11","-0.63","131.75","2.5","5","58 km TimurLaut KOTA-SORONG-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 15:59:48","2021-11-06 16:00:53","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","16:01:57","-3.39","133.97","4.8","10","12 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 16:06:54","2021-11-06 16:07:32","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","16:12:16","-3.39","133.93","4.6","35","11 km BaratDaya KAIMANA-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 16:26:10","2021-11-06 16:27:13","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","16:21:26","-3.34","134.05","3.0","10","13 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 16:32:31","2021-11-06 16:33:20","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","17:17:11.2","-0.91","132.69","3.0","4","36 km Tenggara TAMBRAUW-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 21:53:08","2021-11-06 21:53:27","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","17:18:23.0","-4.24","133.85","4.3","23","106 km BaratDaya KAIMANA-PAPUABRT","tidak","","angkasa","purnama","2021-11-06 21:53:09","2021-11-06 21:53:35","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","23:08:35.5","-1.84","134.11","4.3","66","40 km BaratDaya RANSIKI-PAPUABRT","tidak","","pgr v","purnama","2021-11-06 23:34:17","2021-11-06 23:38:32","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","23:17:36.8","-3.49","140.28","4.8","106","56 km BaratDaya KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-11-2021","23:08:34.9","-1.90","134.09","4.3","17","47 km BaratDaya RANSIKI-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"07-11-2021","02:28:34.1","-3.72","140.31","3.2","10","65 km BaratDaya KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-11-2021","08:55:14.9","-2.41","139.50","3.3","10","102 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-11-2021","09:26:54.6","-3.55","135.43","3.6","29","36 km BaratDaya NABIRE-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-11-2021","21:21:49.5","-3.43","135.55","3.5","10","24 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-11-2021","21:45:16.8","-3.46","135.54","3.0","10","24 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-11-2021","04:52:55.0","-3.30","134.66","4.5","10","62 km Tenggara TELUKWONDAMA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-11-2021","08:23:25.4","-3.60","134.16","4.0","47","42 km Tenggara KAIMANA-PAPUABRT","tidak","","pgr v","purnama","2021-11-09 10:35:17","2021-11-09 21:54:13","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-11-2021","22:55:54.1","-3.91","134.44","3.7","10","88 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
